Optimal circular master production schedule

------------------------------------------------------------
 Product | Period | Inventory | Production | Sales | Demand 
       3 |     12 |      0.00 |       0.00 |  0.00 |   0.63 
       4 |      1 |      3.00 |       0.71 |  3.71 |   4.79 
       4 |      2 |      0.00 |       1.78 |  1.78 |   8.84 
       4 |      3 |      0.00 |       4.20 |  4.20 |  13.21 
       4 |      4 |      0.00 |      10.30 | 10.30 |  12.54 
       4 |      5 |      0.00 |       8.11 |  8.11 |   8.11 
       4 |      6 |      0.00 |      12.02 | 12.02 |  12.02 
       4 |      7 |      0.00 |      11.03 |  6.21 |   6.21 
       4 |      8 |      4.83 |       4.05 |  5.09 |   5.09 
       4 |      9 |      3.78 |       0.00 |  1.57 |   1.57 
       4 |     10 |      2.21 |       0.00 |  0.66 |   0.66 
       4 |     11 |      1.55 |       0.00 |  1.20 |   1.20 
       4 |     12 |      0.35 |       2.06 |  2.41 |   2.41 
       5 |      1 |      3.00 |       0.00 |  3.00 |  11.14 
       5 |      2 |      0.00 |       0.00 |  0.00 |  14.58 
       5 |      3 |      0.00 |       0.00 |  0.00 |   8.18 
       5 |      4 |      0.00 |       0.00 |  0.00 |   8.77 
       5 |      5 |      0.00 |       3.13 |  3.13 |   5.15 
       5 |      6 |      0.00 |       0.86 |  0.86 |   3.86 
       5 |      7 |      0.00 |       0.00 |  0.00 |   2.06 
       5 |      8 |      0.00 |       0.00 |  0.00 |   0.82 
       5 |      9 |      0.00 |       0.00 |  0.00 |   1.09 
       5 |     10 |      0.00 |       0.00 |  0.00 |   2.23 
       5 |     11 |      0.00 |       0.00 |  0.00 |   6.39 
       5 |     12 |      0.00 |       0.00 |  0.00 |   5.71 
       6 |      1 |      3.00 |      11.41 | 14.41 |  14.41 
       6 |      2 |      0.00 |      12.52 | 12.52 |  12.52 
       6 |      3 |      0.00 |       9.34 |  9.34 |   9.34 
       6 |      4 |      0.00 |       4.08 |  4.08 |   4.08 
       6 |      5 |      0.00 |       2.25 |  2.25 |   2.25 
       6 |      6 |      0.00 |       0.51 |  0.51 |   0.51 
       6 |      7 |      0.00 |       0.85 |  0.85 |   0.85 
       6 |      8 |      0.00 |       6.82 |  2.47 |   2.47 
       6 |      9 |      4.35 |       3.00 |  4.33 |   4.33 
       6 |     10 |      3.02 |       6.67 |  9.69 |   9.69 
       6 |     11 |      0.00 |      10.95 | 10.95 |  10.95 
       6 |     12 |      0.00 |      10.36 | 10.36 |  10.36 

----------------------------------------------------------------------------------------------
 Secondary m. | Period | Inventory | Procurement sec. m. | Procurement prim. m. | v_it = A_it 
----------------------------------------------------------------------------------------------
            1 |      1 |     20.00 |               25.00 |                 0.00 | yes
            1 |      2 |     42.88 |               25.00 |                 0.00 | yes
            1 |      3 |     62.56 |               23.00 |                 0.00 | yes
            1 |      4 |     72.97 |               27.00 |                 0.00 | yes
            1 |      5 |     69.06 |               32.00 |                 0.00 | yes
            1 |      6 |     62.30 |               19.00 |                 0.00 | yes
            1 |      7 |     25.86 |               28.00 |                 0.00 | yes
            1 |      8 |      0.00 |               21.00 |                 0.00 | yes
            1 |      9 |      0.00 |               34.00 |                 0.00 | yes
            1 |     10 |      0.00 |               24.00 |                 0.00 | yes
            1 |     11 |      0.00 |               20.00 |                 0.00 | yes
            1 |     12 |      5.70 |               15.00 |                 0.00 | yes
            2 |      1 |     10.00 |               28.00 |                 0.00 | yes
            2 |      2 |     26.59 |               31.00 |                 0.00 | yes
            2 |      3 |     45.07 |               17.00 |                 0.00 | yes
            2 |      4 |     52.73 |               20.00 |                 0.00 | yes
            2 |      5 |     68.65 |               24.00 |                 0.00 | yes
            2 |      6 |     80.36 |               15.00 |                 0.00 | yes
            2 |      7 |     80.53 |               33.00 |                 0.00 | yes
            2 |      8 |     97.11 |               12.44 |                 0.00 | no
            2 |      9 |     96.09 |                0.00 |                 0.00 | no
            2 |     10 |     67.59 |                0.00 |                 0.00 | no
            2 |     11 |     42.92 |                0.00 |                 0.00 | no
            2 |     12 |     21.25 |                0.00 |                 0.00 | no

Service level for product 1: 0.0833
Service level for product 2: 0.2500
Service level for product 3: 0.1667
Service level for product 4: 0.6667
Service level for product 5: 0.0000
Service level for product 6: 1.0000
Total contribution margin: 19222.0143
